WMU_NY_UNIT,Buck_2007,Antlerless_2007,Buck_2008,Antlerless_2008,Buck_2009,Antlerless_2009,Buck_2010,Antlerless_2010,Buck_2011,Antlerless_2011,Buck_2012,Antlerless_2012,Buck_2013,Antlerless_2013,Buck_2014,Antlerless_2014,Buck_2015,Antlerless_2015,Buck_2016,Antlerless_2016,Buck_2017,Antlerless_2017,Buck_2018,Antlerless_2018,Buck_2019,Antlerless_2019,Buck_2020,Antlerless_2020,Buck_2021,Antlerless_2021,Buck_Total,Antlerless_Total,BuckPercentTotal,AntlerlessPercentTotal
4L,214,92,280,82,310,93,288,99,409,114,400,151,322,113,353,125,429,126,439,104,398,157,479,164,411,129,467,267,523,162,5722,1978,0.15,0.14
4U,259,73,258,135,220,71,250,115,356,88,364,87,326,153,316,109,338,93,384,98,322,134,427,143,313,117,395,224,345,158,4873,1798,0.14,0.13
5C,547,131,476,102,424,130,395,115,433,146,486,177,581,160,461,197,488,194,480,103,528,88,691,156,808,195,703,236,794,161,8295,2291,0.17,0.16
5F,690,247,803,193,552,193,522,206,602,236,633,234,679,266,546,168,548,268,575,114,600,118,730,160,651,116,607,163,647,110,9385,2792,0.21,0.2
5G,1055,539,1115,433,761,396,805,320,840,399,1017,418,1023,460,867,337,983,480,1.02,421,1.16,316,1.24,482,1355,372,1257,510,1149,338,12230.42,6221,0.47,0.44
5R,581,673,586,785,633,642,600,759,842,918,945,1615,797,968,701,1013,719,912,698,916,686,716,555,806,706,670,813,1040,873,755,10735,13188,0.99,0.93
5S,0,0,0,0,1569,1311,1494,1490,1730,1230,1642,1593,1558,1531,1295,1563,1.2,1.18,1.29,1.2,1.34,1.09,1.25,1.19,1113,875,1324,1092,1254,1010,12984.08,11699.66,0.88,0.83
5T,0,0,0,0,419,273,421,187,498,250,483,282,364,214,317,228,396,131,432,109,406,122,418,157,325,128,418,236,420,172,5317,2489,0.19,0.18
6A,2445,2050,2266,1942,2142,1783,2050,1575,1838,1393,2125,907,1921,1032,1910,981,1.7,494,1.95,533,2.56,557,2.42,626,3261,664,3256,905,3145,1190,26367.63,16632,1.25,1.18
6C,1827,1319,1676,1513,1964,1853,1792,1662,1720,1383,1875,1451,1816,1402,1615,1417,1.43,981,1.61,883,1.83,829,1.92,1.27,2189,1316,1873,1855,2039,977,20392.79,18842.27,1.42,1.33
6F,1224,305,1321,252,986,285,947,331,780,277,972,214,920,257,636,278,577,231,608,89,888,93,802,91,952,87,862,81,845,131,13320,3002,0.23,0.21
